Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2022,14559.013,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2023,,1990
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2000,3052.2,
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2001,3296,
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2002,3517.4,
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2003,3565,
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2004,3871.643,
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2005,4683.172,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2006,3963.791,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2007,4491.684,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2008,3816.06,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2009,3535.03,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2010,3466.272,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2011,5465.581,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2012,5274.1,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2013,6491.612,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2014,7559.88,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2015,7566.347,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2016,8085.497,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2017,7902.99,132
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2018,7934.852,152.95
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2019,7635.821,165.97
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2020,6901.968,165.97
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2021,7369.366,165.97
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2022,6956.853,165.97
Brazil,Total Non-Renewable,Other non-renewable energy,Other non-renewable energy,Other non-renewable energy,On-grid electricity,2023,,165.97
Brazil,Total Renewable,Bioenergy,Biogas,Biogas,All types,2008,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas,All types,2011,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas,All types,2015,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas,All types,2020,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas,All types,2022,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2014,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2015,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2016,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2017,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2018,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2019,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2020,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2021,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogas n.e.s.,Off-grid electricity,2022,,
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2005,387.361,22
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2006,163.678,22
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2007,220.532,22
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2008,184.024,70
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2009,424.439,85
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2010,173.286,88
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2011,240.779,88
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2012,241.966,93
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2013,300.956,93
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2014,548.082,108
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2015,673.796,111.865
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2016,858.09,337.265
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2017,917.646,119.35
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2018,716.898,133.066
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2019,733.815,134.065
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2020,678.944,134.865
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2021,802.789,134.865
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2022,659.07,140.585
Brazil,Total Renewable,Bioenergy,Biogas,Biogases from thermal processes,On-grid electricity,2023,,137.219
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2005,312.776,17.764
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2006,132.163,17.764
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2007,178.069,17.764
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2008,94.908,29.684
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2009,197.071,42.284
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2010,107.746,65.284
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2011,181.621,67.474
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2012,191.097,75.474
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2013,245.664,76.354
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2014,389.133,66.354
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2015,448.514,80
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2016,374.233,115.876
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2017,494.184,130.027
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2018,768.06,140.403
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2019,909.931,190.84
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2020,993.048,202.508
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2021,1293.888,232.228
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2022,1139.479,244.003
Brazil,Total Renewable,Bioenergy,Biogas,Landfill gas,On-grid electricity,2023,,246.635
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2005,39.37,2.236
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2006,16.636,2.236
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2007,22.414,2.236
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2008,9.105,2.316
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2009,13.779,2.716
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2010,5.441,2.716
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2011,8.539,3.526
Brazil,Total Renewable,Bioenergy,Biogas,Other biogases from anaerobic fermentation,On-grid electricity,2012,9.427,3.526
